sampledate,layer,tp,,,,,,,
6/25/2007,epi,53.29541970103488,,,,,,,
7/9/2007,epi,44.57474128018398,,,,,,,
7/23/2007,epi,31,,,,,,,
8/6/2007,epi,28.427484608619174,,,,,,,
8/20/2007,epi,26,,,,,,,
9/4/2007,epi,36.31267352604932,,,,,,,
10/1/2007,epi,198.64899553571428,,,,,,,
10/29/2007,epi,135.04556129092262,,,,,,,
5/12/2008,epi,54.10882124775437,,,,,,,
5/28/2008,epi,73.64415127528584,,,,,,,
6/9/2008,epi,83.61129988,,,,,,,
6/23/2008,epi,105.3377308707124,,,,,,,
7/7/2008,epi,93.33469656992085,,,,,,,
7/21/2008,epi,52.17792436235708,,,,,,,
8/4/2008,epi,63.49076517150396,,,,,,,
8/18/2008,epi,36.33039359790952,,,,,,,
9/5/2008,epi,52.17752181233737,,,,,,,
9/29/2008,epi,168.36565420560748,,,,,,,
5/11/2009,epi,125.6419896,,,,,,,
5/28/2009,epi,147,,,,,,,
6/9/2009,epi,111.87777437624369,,,,,,,
6/23/2009,epi,116.2300853485064,,,,,,,
7/6/2009,epi,108.72283441931775,,,,,,,
7/20/2009,epi,80.95590396864283,,,,,,,
8/5/2009,epi,67.13183896782623,,,,,,,
8/19/2009,epi,47.28830255057168,,,,,,,
9/2/2009,epi,68.03079814921921,,,,,,,
9/30/2009,epi,182.49415887850466,,,,,,,
5/24/2010,epi,68.08012472885032,,,,,,,
6/7/2010,epi,50.68634423897582,,,,,,,
6/21/2010,epi,34.78606175972927,,,,,,,
7/5/2010,epi,38.730212725182064,,,,,,,
7/19/2010,epi,42.03075891146033,,,,,,,
8/3/2010,epi,31.706156552330693,,,,,,,
8/16/2010,epi,33.15482932802694,,,,,,,
8/30/2010,epi,36.42503675,,,,,,,
10/5/2010,epi,212.33804433767182,,,,,,,
5/17/2011,epi,68.23398515230369,,,,,,,
5/31/2011,epi,73.14625506072875,,,,,,,
6/13/2011,epi,69.99616201208558,,,,,,,
6/27/2011,epi,NA,,,,,,,
7/11/2011,epi,36.817362974319664,,,,,,,
7/25/2011,epi,22,,,,,,,
8/4/2011,epi,14.392554991539763,,,,,,,
8/22/2011,epi,19.28830255057168,,,,,,,
9/12/2011,epi,24.224440633676302,,,,,,,
10/3/2011,epi,208.11847579425114,,,,,,,
4/17/2012,epi,58.737679780033844,,,,,,,
5/14/2012,epi,81.98053612,,,,,,,
5/29/2012,epi,54.17401600522619,,,,,,,
6/11/2012,epi,45.138390501319265,,,,,,,
6/25/2012,epi,35.17401600522619,,,,,,,
7/10/2012,epi,19.45400536604063,,,,,,,
7/23/2012,epi,19.64415127528584,,,,,,,
