"","year","daynum","sampledate","stratFlag","thermocline","layer","temp","o2","tp","doc","baro","longwave","shortwave"
"1",2015,121,2015-05-01,TRUE,9.96676260664355,"epi",8.64612878497509,13.3876581065542,74.3168838635493,NA,98220,286.854166666667,280.140666666667
"2",2015,122,NA,NA,9.93495588618665,NA,8.95836367701546,NA,73.9980635939696,NA,98220,297.947083333333,283.386208333333
"3",2015,123,NA,NA,9.90314916572974,NA,9.27059856905583,NA,73.6792433243899,NA,98220,327.286666666667,246.704291666667
"4",2015,124,NA,NA,9.87134244527284,NA,9.58283346109621,NA,73.3604230548103,NA,98220,335.756666666667,284.139291666667
"5",2015,125,NA,NA,9.83953572481593,NA,9.89506835313658,NA,73.0416027852306,NA,98220,359.064166666667,76.4097083333333
"6",2015,126,NA,NA,9.80772900435903,NA,10.207303245177,NA,72.7227825156509,NA,98220,356.435,241.383541666667
"7",2015,127,NA,NA,9.77592228390213,NA,10.5195381372173,NA,72.4039622460713,NA,98220,344.52375,285.012708333333
"8",2015,128,NA,NA,9.74411556344522,NA,10.8317730292577,NA,72.0851419764916,NA,98220,356.5875,253.83025
"9",2015,129,NA,NA,9.71230884298832,NA,11.1440079212981,NA,71.766321706912,NA,98220,331.427916666667,289.596375
"10",2015,130,NA,NA,9.68050212253142,NA,11.4562428133384,NA,71.4475014373323,NA,98220,349.610833333333,162.14
"11",2015,131,NA,NA,9.64869540207451,NA,11.7684777053788,NA,71.1286811677526,NA,98220,355.165833333333,208.002875
"12",2015,132,NA,NA,9.61688868161761,NA,12.0807125974192,NA,70.809860898173,NA,98220,322.912083333333,183.15125
"13",2015,133,2015-05-13,TRUE,9.58508196116071,"epi",12.3929474894596,10.8981410502108,70.4910406285933,4.49599870640092,98220,269.3100125,302.527458333333
"14",2015,134,NA,NA,9.73638815509736,NA,12.6034183431732,NA,69.3975973845151,NA,98220,329.675,178.7895
"15",2015,135,NA,NA,9.887694349034,NA,12.8138891968868,NA,68.3041541404368,NA,98220,348.130833333333,296.661458333333
"16",2015,136,NA,NA,10.0390005429707,NA,13.0243600506004,NA,67.2107108963585,NA,98220,378.66625,179.905625
"17",2015,137,NA,NA,10.1903067369073,NA,13.2348309043141,NA,66.1172676522803,NA,98220,378.429583333333,209.207541666667
"18",2015,138,NA,NA,10.3416129308439,NA,13.4453017580277,NA,65.023824408202,NA,98220,316.1508375,283.479416666667
"19",2015,139,NA,NA,10.4929191247806,NA,13.6557726117413,NA,63.9303811641237,NA,98220,303.944583333333,264.723416666667
"20",2015,140,NA,NA,10.6442253187172,NA,13.8662434654549,NA,62.8369379200455,NA,98220,299.620833333333,168.186708333333
"21",2015,141,NA,NA,10.7955315126539,NA,14.0767143191685,NA,61.7434946759672,NA,98220,274.672916666667,312.80875
"22",2015,142,NA,NA,10.9468377065905,NA,14.2871851728822,NA,60.650051431889,NA,98220,283.6475,314.537375
"23",2015,143,NA,NA,11.0981439005272,NA,14.4976560265958,NA,59.5566081878107,NA,98220,315.47,262.662625
"24",2015,144,NA,NA,11.2494500944638,NA,14.7081268803094,NA,58.4631649437324,NA,98220,368.853333333333,92.2825
"25",2015,145,NA,NA,11.4007562884005,NA,14.918597734023,NA,57.3697216996542,NA,98220,371.69,250.260625
"26",2015,146,NA,NA,11.5520624823371,NA,15.1290685877366,NA,56.2762784555759,NA,98220,367.147916666667,179.8475
"27",2015,147,2015-05-27,TRUE,11.7033686762738,"epi",15.3395394414503,9.35887636779356,55.1828352114976,NA,98220,346.395,273.549416666667
"28",2015,148,NA,NA,11.5332338358303,NA,15.6206797761014,NA,55.2432944530079,NA,98220,329.370420833333,311.155375
"29",2015,149,NA,NA,11.3630989953867,NA,15.9018201107524,NA,55.3037536945181,NA,98220,383.305420833333,204.816708333333
"30",2015,150,NA,NA,11.1929641549432,NA,16.1829604454035,NA,55.3642129360284,NA,98220,356.630833333333,105.678291666667
"31",2015,151,NA,NA,11.0228293144997,NA,16.4641007800546,NA,55.4246721775386,NA,98220,258.770416666667,320.900208333333
"32",2015,152,NA,NA,10.8526944740562,NA,16.7452411147057,NA,55.4851314190488,NA,98220,262.583333333333,330.029958333333
"33",2015,153,NA,NA,10.6825596336127,NA,17.0263814493568,NA,55.5455906605591,NA,98220,287.103333333333,324.382458333333
"34",2015,154,NA,NA,10.5124247931691,NA,17.3075217840079,NA,55.6060499020693,NA,98220,341.14625,272.996208333333
"35",2015,155,NA,NA,10.3422899527256,NA,17.588662118659,NA,55.6665091435796,NA,98220,382.914166666667,307.315416666667
"36",2015,156,NA,NA,10.1721551122821,NA,17.8698024533101,NA,55.7269683850898,NA,98220,333.8645875,315.20725
"37",2015,157,NA,NA,10.0020202718386,NA,18.1509427879611,NA,55.7874276266001,NA,98220,316.557916666667,310.839170833333
"38",2015,158,NA,NA,9.83188543139506,NA,18.4320831226122,NA,55.8478868681103,NA,98220,383.0975,248.380416666667
"39",2015,159,2015-06-08,TRUE,9.66175059095154,"epi",18.7132234572633,8.97805672671522,55.9083461096205,5.44350325795324,98220,359.27125,275.241166666667
"40",2015,160,NA,NA,9.69589578159332,NA,18.8531662851198,NA,55.7692614114887,NA,98220,351.319583333333,319.877291666667
"41",2015,161,NA,NA,9.73004097223509,NA,18.9931091129762,NA,55.6301767133569,NA,98220,349.265833333333,323.099333333333
"42",2015,162,NA,NA,9.76418616287687,NA,19.1330519408326,NA,55.491092015225,NA,98220,366.72375,154.32875
"43",2015,163,NA,NA,9.79833135351864,NA,19.2729947686891,NA,55.3520073170932,NA,98220,369.979166666667,146.269583333333
